"[run number]","wolf-gain-from-food","fix-initialization?","move-one-sheep?","hunt-wolves?","l10-too-many-sheep","initialization-seed","show-energy?","wolf-reproduce","initial-number-wolves","initial-number-sheep","model-version","sheep-gain-from-food","grass-regrowth-time","max-sheep","sheep-reproduce","[step]","count sheep","count wolves","mn-sheep","mx-sheep","mn-wolves","mx-wolves","ticks"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","388","50768","0","6","50768","0","552","388"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","403","0","2328","0","6848","3","2328","403"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","380","50735","0","9","50735","0","374","380"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","370","50668","0","18","50668","0","380","370"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","376","51244","0","9","51244","0","403","376"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","449","51043","0","2","51043","0","553","449"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","438","51423","0","1","51423","0","627","438"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","381","50157","0","10","50157","0","486","381"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","408","0","3556","0","12974","1","3556","408"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","408","50922","0","3","50922","0","460","408"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","340","0","1358","0","1451","9","1391","340"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","166","0","112","0","668","36","699","166"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","386","51465","0","7","51465","0","559","386"
